"T","RH","AH","CO","NOx","NO2","O3"
16.4,53.2,0.9826,3.8,310,145,1306
16.1,52.8,0.9579,2,269,145,1029
15.7,54.4,0.9616,2.2,348,156,1094
15.4,55.3,0.9616,3.3,396,154,1282
15.2,54.7,0.9362,2.7,432,165,1147
14.7,56.6,0.9392,2.6,419,153,1208
14.4,58.2,0.9495,2.5,412,151,1192
14.3,59.2,0.9608,1.5,223,131,1136
14,60.4,0.9622,1.9,242,128,1131
13.7,63.6,0.9912,2,288,137,1071
13.1,68.7,1.0329,1.7,209,119,1059
13.2,69.9,1.0526,1.2,141,96,909
12.8,71.2,1.0454,0.9,-200,-200,820
12.9,70.4,1.0444,0.6,66,60,724
12.4,72.5,1.0411,-200,64,54,707
13,70.3,1.0502,-200,105,66,768
12.3,73.3,1.0448,0.4,303,104,1027
12.8,71.8,1.0551,2.6,620,137,1502
13.1,70.2,1.0567,3.5,590,146,1606
12.8,71.8,1.0551,2.1,592,136,1520
13.1,70.3,1.0566,2.1,698,144,1566
13.7,67,1.0446,1.7,482,133,1501
14,65.4,1.0427,2.6,575,148,1634
14.4,63.8,1.0421,2.6,548,155,1587
14.1,65.9,1.0531,2.4,498,152,1560
14.1,65.9,1.0552,2.4,479,145,1538
14.1,66,1.0539,2,420,139,1491
14,66.4,1.0536,2,378,134,1469
13.8,66.4,1.0451,3.1,340,128,1486
13.4,68.1,1.0441,3.3,399,135,1494
13.2,69.1,1.0452,3.3,449,136,1471
13,70,1.042,2.6,374,126,1399
12.7,69.9,1.0223,1.7,244,116,1192
12,71.9,1.0071,1.8,256,116,1187
13.2,66.8,1.0087,1.5,212,107,1070
12.4,69.5,0.9986,1.1,146,91,949
13.1,65.7,0.9858,0.9,-200,-200,830
11.8,70.6,0.9731,0.7,96,70,854
12.3,68,0.9734,0.7,106,78,835
12,69.2,0.9697,0.9,115,75,887
11.7,69.8,0.9612,1.3,236,101,1019
12.1,67.6,0.95,3.2,583,136,1503
12.5,65.1,0.9399,5.1,662,147,1687
12.8,62.5,0.9213,3.7,528,143,1553
13.4,59.9,0.9143,3.2,549,153,1624
13.4,57.9,0.8895,3.1,531,148,1637
13.6,56.4,0.8754,3,493,149,1533
13.8,56.3,0.8841,3.6,527,141,1577
13.7,57.9,0.9063,3.2,487,147,1532
13.6,58.9,0.9139,3.9,581,159,1621
13.4,59.7,0.9142,3.4,531,152,1578
13.3,61.2,0.933,3.9,495,144,1631
13.2,61.8,0.9313,3.6,487,146,1629
12.9,61.5,0.9139,4.7,596,162,1733
12.6,63.9,0.9307,4.1,595,156,1622
12,67.4,0.9417,3.4,559,146,1597
11.9,69,0.9568,3.5,586,151,1738
12,66.6,0.9293,1.2,399,127,1350
11.4,69.6,0.9373,2.4,399,123,1363
11.2,70.3,0.9323,2.1,381,122,1262
11.5,68.2,0.9271,1.1,-200,-200,1034
10.7,71.3,0.9161,-200,162,85,998
10,74.8,0.9161,1,183,83,958
9.2,78.5,0.9143,1.4,357,98,1078
8.8,79.4,0.9033,1.8,479,109,1143
8.7,79.4,0.8944,3.8,852,138,1551
8.9,76.5,0.8767,4.1,822,138,1669
9.9,73.3,0.8936,4.4,910,170,1766
11.8,65.5,0.901,3.5,800,191,1717
13,60.9,0.9061,3.5,758,196,1738
14.7,52.3,0.8687,3.8,647,185,1611
15.1,49.6,0.8428,3.1,431,156,1398
15.7,48.8,0.8657,3.4,491,173,1497
15.8,48.9,0.8707,3.3,476,166,1415
14.6,54,0.8946,3.4,538,173,1457
14.3,56.3,0.9119,4.7,621,177,1669
14.1,57.8,0.9262,5.7,728,182,1740
13.1,62.9,0.943,5.6,716,166,1770
12,67.5,0.9467,5.9,782,177,1734
10.7,70.9,0.9113,3.6,550,158,1647
10,73.2,0.8988,2.5,377,133,1379
9.4,75,0.8874,2.9,391,123,1331
8.5,76.9,0.8557,2.5,433,120,1240
8.4,75.9,0.8407,1.7,287,105,1036
6.9,80.7,0.8054,1.6,-200,-200,969
6.2,82.1,0.7825,1.1,192,86,826
7,77.3,0.7759,0.9,161,77,798
6.5,79.7,0.7751,1,194,81,817
7.7,76.8,0.8112,1.6,343,103,1055
8.2,74.9,0.8184,3.1,624,127,1391
8.8,73.2,0.8298,4.1,758,134,1665
9.7,70.1,0.8432,3.9,760,158,1539
11.7,62.7,0.8586,3.6,713,175,1653
13.1,58.5,0.877,3.2,615,178,1586
14.2,54.1,0.8707,2.2,319,135,1332
14.2,54.3,0.8757,2.4,338,133,1369
14,56.3,0.894,2.7,380,134,1373
13.5,57.8,0.8933,2.7,366,137,1397
12.3,63,0.9015,3.9,567,160,1577
11.4,68,0.9166,5.2,702,166,1783
10.8,69.5,0.8995,4,523,144,1568
11,67.1,0.8766,2.9,373,129,1356
9.5,71.3,0.8458,3.3,467,129,1419
8.8,71,0.8089,2,260,107,1177
8,73.4,0.7899,1.8,244,101,1141
7.6,73,0.7629,2.7,317,112,1179
7.1,73.9,0.7515,1.8,224,98,1056
7.1,73.5,0.7439,1.3,176,90,973
6.7,75,0.739,1,-200,-200,827
5.1,81.3,0.7204,1.1,103,59,836
4.3,82.9,0.6968,1.6,367,98,1085
5.3,80.4,0.7234,1.3,326,109,959
5.7,79.3,0.7326,1.4,374,110,1039
6.8,74.8,0.7423,5,756,159,1554
6.9,75.2,0.7505,4.3,690,144,1546
8,71.9,0.7712,4.1,754,147,1638
9.3,67.1,0.7849,3.8,750,179,1568
10.2,63.6,0.7928,3.1,590,164,1433
11,60.9,0.7966,3.3,525,160,1452
11.3,60.1,0.8022,3.1,406,143,1345
12.2,56.9,0.8068,2.7,360,138,1336
11.9,59.1,0.8211,3.4,448,143,1442
10.3,66.3,0.8286,5,733,196,1748
8.2,74.9,0.8187,5.7,847,197,1776
7.9,77.1,0.8223,5.8,765,189,1802
8.3,75,0.8253,5.8,715,188,1796
8.2,75.2,0.8185,5,716,190,1600
8.3,69.7,0.7632,1.7,235,126,1083
6.7,74.4,0.7344,1.6,198,113,1064
6.4,74.9,0.7238,2.3,293,129,1104
4.9,80.1,0.7011,2.4,356,128,1053
4.8,79.4,0.6872,2,285,122,1009
3.3,82.6,0.645,1.6,-200,-200,908
2.4,86.6,0.6369,-200,266,115,878
3.4,81.4,0.6425,1.1,158,92,800
4.2,77,0.6439,1,95,70,784
3.5,80.8,0.6406,1.3,148,83,854
3.5,80.3,0.6366,1.9,337,127,1065
4,78.5,0.645,2.6,453,142,1161
4.5,76.6,0.6534,2.7,497,155,1192
5.6,72.3,0.6627,2.4,448,153,1202
7.5,64.4,0.672,2.7,496,177,1338
8.9,60.8,0.6921,3.1,535,179,1505
10.6,55.3,0.7058,4.4,644,212,1715
12.3,46.3,0.6597,3.2,459,182,1473
12.2,47,0.6686,2.9,409,168,1433
10.5,55.1,0.6993,3,515,179,1544
8.7,66.3,0.7491,3.7,640,182,1648
7.9,69.9,0.7487,5.2,816,194,1784
7.6,65.3,0.6842,3.3,505,166,1519
6.5,67.6,0.6608,3.6,560,168,1532
5.9,66.4,0.6226,2.3,389,148,1340
5.2,70,0.6232,3,492,151,1414
5.2,67.8,0.6028,3.8,531,165,1499
4.9,67.1,0.5863,3.2,487,165,1306
5.1,65.5,0.5811,2.1,293,128,1172
4,69.5,0.5706,1.7,-200,-200,1076
3.7,68.9,0.5549,1.7,219,115,1005
4.5,62.7,0.5343,1.4,198,120,913
4.7,62.3,0.5368,1.2,166,106,922
3.9,67.1,0.5483,1.4,255,118,1026
5.7,54.5,0.5034,1.4,312,156,952
6.1,50.3,0.4769,1.7,236,130,915
9,39.5,0.4554,1,172,112,687
10.7,34.4,0.4406,1,138,96,597
11.1,33.4,0.4401,0.8,121,89,527
11.9,30.8,0.4285,1,143,98,573
11.4,32,0.431,0.8,114,85,492
11.3,32.5,0.4334,0.7,107,80,463
11,33,0.4331,1.1,176,112,565
10.3,35,0.4377,1.1,180,121,632
8.4,40.9,0.4542,1.2,212,132,691
8.3,38.5,0.4228,2,331,160,943
8.1,37.9,0.41,2.2,369,167,985
7.7,39,0.4106,1.5,274,157,821
7,41.5,0.4193,1.2,199,130,767
6.6,42.6,0.4179,1.5,248,145,895
6.4,44.2,0.428,1.4,197,133,791
6,46,0.4349,1.2,147,110,770
4.4,53.1,0.4484,1,135,100,839
4,54.3,0.4454,0.6,-200,-200,721
3.7,55.8,0.4489,0.7,95,79,720
2.6,58.6,0.4385,0.5,94,79,682
3.2,56,0.4364,0.7,121,90,723
3.6,55.4,0.4419,1,131,95,813
1.8,63.3,0.4464,3,552,169,1365
2.4,60.2,0.4426,4.1,614,199,1472
4.6,52.1,0.4472,3.1,530,186,1497
8.2,40.5,0.4414,3.8,721,208,1626
10.5,34.7,0.4393,2.7,474,178,1476
11.1,33.3,0.4384,3.1,514,176,1531
11.1,32.6,0.4292,3.1,504,177,1503
12.4,28.3,0.4076,3.2,508,182,1488
12.9,24.5,0.363,3.3,529,182,1435
11.4,28.7,0.3865,4,676,193,1725
9.2,39.3,0.4573,8.6,1216,272,2331
7.8,48.1,0.5115,8.7,1230,225,2312
7.2,50.6,0.517,3.6,582,181,1699
6,53.3,0.5008,3,460,172,1587
5.3,55,0.4921,1.9,340,153,1390
4.2,58.1,0.4832,1.9,298,143,1347
3.4,60.9,0.4809,1.6,300,142,1268
3,60.2,0.4639,1.4,223,131,1155
3.2,58.8,0.4578,1,151,105,1024
3.3,57.7,0.4516,0.7,-200,-200,968
4.5,53.8,0.4572,-200,108,83,915
3.1,59.7,0.4604,0.8,125,87,928
4.2,57.1,0.4743,0.9,181,106,1028
3.4,58.5,0.4608,1.5,341,140,1210
3.9,57.3,0.4661,3.1,552,167,1531
4.3,56.8,0.4768,5.1,839,175,1745
5.6,52.9,0.4841,5.8,1049,235,1974
5.5,54.9,0.4985,3.8,796,196,1806
5.1,64.3,0.5697,4.4,999,211,1985
5.5,66.1,0.601,4.9,1022,234,2068
5.5,69.3,0.6331,5.2,1023,240,2087
5,75.5,0.6667,4.6,1065,243,1994
5.2,76.2,0.6796,4.8,1098,224,1971
5.3,77.4,0.6954,4.9,1099,240,1941
5,79.6,0.7022,4.9,939,215,1969
5.1,83,0.7352,5.5,875,216,1813
6.4,82.9,0.8022,4.2,745,184,1677
10.3,74,0.9237,1.5,339,152,1118
11.3,71.8,0.9577,0.1,135,104,828
9.8,81.9,0.9923,0.2,167,104,867
9.5,83.8,0.9972,0.9,232,124,974
9.9,81,0.9885,1,273,127,975
9.9,79.8,0.9725,0.4,165,109,902
6.9,76.4,0.7661,-200,-200,-200,791
4.8,75.7,0.659,-200,75,73,673
4.7,78.9,0.682,-200,53,52,578
5,75,0.6627,-200,72,57,563
5.6,69.5,0.6362,0.1,130,89,730
7,64.9,0.6512,0.7,265,128,974
7.1,65.4,0.6644,1.2,314,152,958
6.4,67.4,0.6537,0.2,194,128,713
5.3,75.9,0.6824,-200,180,124,617
6.3,73,0.7024,-200,181,117,591
8.6,63.3,0.7073,0.3,193,110,661
10,55,0.6753,0.6,263,128,856
9.4,53.6,0.6333,0.2,176,114,639
9.2,55,0.6402,0.2,168,110,647
8.7,55.1,0.6228,0.7,170,112,646
8.9,54.4,0.62,1.8,234,130,846
8.6,53.6,0.5992,2.2,256,135,857
9,50.4,0.5809,2.3,257,141,942
9.2,49.8,0.5808,2.6,317,141,945
8.8,52.1,0.5918,1.1,135,95,562
8.8,50.9,0.5781,1.2,159,97,657
8.7,51.1,0.5755,1.8,186,112,723
8.6,51.5,0.5772,1.1,102,74,555
8.5,51.9,0.5766,0.9,75,62,472
8.1,53.1,0.5742,0.7,-200,-200,434
7.8,54.2,0.5755,0.6,41,40,412
7.1,56,0.569,0.6,50,45,453
7,57.6,0.5784,0.9,189,93,702
7.5,55.3,0.5734,1,182,104,720
7,56.3,0.566,3.4,636,162,1311
7.6,53.5,0.5605,4.2,704,169,1444
8.3,50.5,0.5558,4.4,854,190,1613
12.4,37.1,0.5329,2.9,652,170,1388
13.9,32.3,0.5117,2.6,529,151,1379
14.4,28.9,0.4723,2.6,438,150,1289
14.8,25.4,0.4259,3,438,154,1280
15.1,20.8,0.3536,2.3,378,140,1059
15.4,23.5,0.4076,3,482,167,1299
13.7,28.1,0.4381,4.5,709,204,1638
11.5,37.5,0.5068,6,796,210,1946
10.4,42.3,0.5337,4.3,605,182,1798
9.9,44,0.5381,3.4,472,165,1609
8.7,48.3,0.5458,2.8,411,150,1531
8.1,49.9,0.5417,2.1,264,132,1338
7.3,52.8,0.5419,1.7,217,120,1274
8,52.2,0.5623,1.8,211,119,1200
6.8,56.4,0.5609,1.6,179,110,1143
6.7,57.4,0.5654,1.4,135,94,1048
5.9,62.1,0.5806,1.3,-200,-200,1049
5.4,65.9,0.5947,-200,221,101,1172
5.5,66.5,0.6054,1.3,284,117,1368
5.9,65.8,0.6178,1.6,357,121,1540
6.4,63.9,0.6192,2.4,469,138,1575
7.2,62.2,0.6351,4.5,766,174,1856
7.9,60,0.6406,5.7,875,179,2086
8.3,58.5,0.6403,4.3,800,175,1948
9.3,54.5,0.6415,4.2,815,183,2022
10.2,53.1,0.6608,4.5,841,189,2104
11.1,51.4,0.679,5,827,198,2195
12.8,46.9,0.6919,2.9,402,142,1845
13.1,48,0.7181,3,415,139,1947
13.5,51.5,0.793,3.3,435,99,2171
13.4,51.2,0.7808,1.4,570,135,1920
12.1,55.3,0.7777,2.3,530,223,1835
12,56.5,0.7924,1.6,617,194,1919
10.4,64.4,0.8123,4.9,983,244,2254
9.4,69.1,0.815,6.4,1200,243,2210
8.9,71,0.8115,3.5,1028,230,1961
8.1,73.8,0.7968,1.7,797,207,1791
7.3,76.8,0.7904,2.6,977,223,1725
7.3,76.7,0.7862,1.6,811,216,1553
7.1,77.3,0.7826,1.5,757,198,1506
6.7,78.7,0.7779,0.9,-200,-200,1398
7,77.8,0.7848,0.5,388,126,1300
5.7,80.5,0.7416,0.9,497,144,1383
5.2,81.4,0.7276,0.4,582,183,1413
5.6,80.4,0.7349,0.5,574,193,1471
6.3,78.8,0.7544,0.8,588,196,1619
6.9,76.9,0.7682,1.4,645,208,1673
9.2,67.7,0.79,1.6,643,217,1881
11.6,59.8,0.8152,1.5,628,246,1877
14,52,0.8288,1,547,204,1818
15,50.2,0.8495,1,461,192,1699
14.9,49.9,0.8394,1.3,455,186,1677
15.8,33.8,0.6034,0.1,244,133,1088
15.4,29.3,0.5068,-200,202,126,926
14.4,25.7,0.4193,-200,256,138,961
13.4,27.2,0.4157,0.1,310,148,1066
12.2,28.7,0.4077,0.4,391,167,1241
11.3,25.7,0.3422,0.7,444,175,1220
9.7,31.9,0.3848,2.7,794,224,1613
8.4,36.5,0.4035,2.1,716,215,1577
8.2,36.8,0.4016,1.3,565,196,1569
8,36,0.3872,0.8,451,195,1445
7,39.9,0.4006,-200,313,181,1240
5.7,44.3,0.4093,-200,241,150,1169
4.7,46.6,0.4025,-200,-200,-200,1052
4.2,50.8,0.4234,-200,224,139,1006
4.6,45.1,0.3861,-200,82,74,757
2.7,53.3,0.4006,-200,89,73,753
3.1,51,0.3947,-200,93,77,737
2.5,54.1,0.4017,-200,134,98,792
3.1,53.5,0.4123,-200,189,121,945
5,47.5,0.418,-200,292,162,1115
5.8,43.4,0.4032,-200,326,178,1131
7.1,42.8,0.4327,-200,397,206,1242
7.9,41.6,0.4459,-200,371,191,1289
8.1,41.2,0.448,-200,305,175,1276
8.3,41.3,0.4533,-200,328,169,1359
8.9,49.1,0.5629,-200,281,180,1020
7.1,66,0.6678,-200,168,124,805
5.7,75.1,0.6942,-200,183,130,857
5.4,77.6,0.7031,-200,217,141,942
5.4,78.2,0.7074,-200,245,157,1020
7.3,68.1,0.6979,-200,154,123,899
5.8,74.4,0.6924,-200,141,104,860
6.2,72.3,0.6887,-200,210,134,954
5.9,72.7,0.6791,-200,140,105,883
5,76.5,0.6728,-200,191,121,966
4,80.4,0.663,0.1,248,136,983
5.8,59,0.5493,-200,-200,-200,607
5.8,59.5,0.5519,-200,50,48,443
6.6,51.3,0.5026,0.3,43,40,390
7,47.2,0.4745,0.5,86,67,479
6.6,47.9,0.4686,0.6,152,104,732
7.2,49.8,0.5061,1.8,341,169,1149
6.9,52.8,0.5293,2,355,203,1136
8.7,46.7,0.5249,1.4,327,183,934
10,40.6,0.4971,0.6,240,151,845
11.8,35.4,0.4877,0.5,217,138,808
10.7,37.2,0.4788,0.7,191,127,783
10.9,34.9,0.456,0.7,-200,-200,785
10.7,33.1,0.4256,1.1,256,148,899
10.6,34.2,0.4375,1.3,287,172,922
8.9,38.1,0.4341,1,278,163,951
7.8,39.7,0.4206,1.5,302,180,1051
7.3,42.2,0.4341,1.5,259,169,967
6.9,42.5,0.4257,1.2,221,152,861
6.6,43.2,0.4247,0.3,142,107,631
6.4,41.7,0.4034,-200,93,75,466
6.1,42.6,0.4041,-200,71,58,407
5.9,41.8,0.3928,-200,66,57,387
5.7,41.5,0.3836,-200,49,44,337
5.5,42.4,0.3867,-200,29,29,303
4.5,52,0.4436,-200,-200,-200,295
4.3,51.6,0.4323,-200,19,19,288
3.7,56.3,0.453,-200,20,20,274
3.3,58.1,0.4559,-200,39,35,289
3.9,47.3,0.3862,-200,77,60,318
4.3,45.9,0.3843,0.2,180,115,476
4.2,50.1,0.4168,0.7,243,157,704
3.4,62.7,0.4943,0.5,236,147,735
5,51.4,0.4534,0.4,297,188,735
5.7,44.1,0.4063,0.3,235,126,653
5.2,44.5,0.3968,0.3,186,114,603
4.7,48.6,0.4194,0.4,196,123,645
4.5,51,0.4327,0.2,167,107,564
5.1,50.1,0.4432,0.4,211,121,614
5,50.4,0.443,0.4,194,118,658
4.3,56.4,0.4721,0.7,206,134,719
4.3,56.7,0.476,1,211,142,772
4.3,57,0.4771,1.1,197,133,812
3.5,60.3,0.4782,0.3,139,106,583
4.1,52.5,0.4351,0.1,113,87,491
3.9,50.6,0.4127,-200,81,67,400
3.9,47.7,0.3901,-200,63,55,354
4,47.8,0.3939,-200,55,49,329
3.9,50.9,0.4144,-200,31,30,296
3,57.7,0.4423,-200,-200,-200,283
3.3,52.8,0.4137,-200,20,20,266
2.7,53.9,0.4062,-200,17,17,253
2.8,54.4,0.411,-200,42,35,282
3.6,49,0.3915,-200,90,71,353
3.3,50.2,0.3934,0.3,227,136,519
3.5,47.5,0.3778,0.6,250,163,681
4.3,49.4,0.4136,0.3,219,143,583
4.5,48.4,0.4131,0.1,211,134,628
4.3,50,0.4199,0.1,189,130,566
4.3,49.7,0.4166,0.2,180,122,572
4.9,45.3,0.3955,0.5,197,129,637
5.6,42.4,0.3884,0.3,198,132,579
5.7,43.1,0.3984,0.3,203,133,666
4.8,49.7,0.4305,0.3,188,126,707
5.1,43,0.3821,1,294,177,990
5.3,44.4,0.397,1.4,302,185,1026
4.9,47.9,0.418,1.4,261,169,910
4.7,50.8,0.4398,1.1,232,151,897
4.6,54.8,0.4704,0.4,154,114,651
4,56.8,0.4688,0.2,120,90,598
4.2,46.8,0.39,0.2,117,87,560
4.5,42,0.3571,0.2,108,83,527
4.1,42.1,0.3487,0.2,97,74,574
4.5,39.7,0.3379,-200,-200,-200,422
4.4,42.2,0.3571,-200,28,28,326
4.1,45.9,0.3804,0.4,27,26,312
4.3,42.5,0.3556,0.5,81,61,382
4.6,38.1,0.3267,0.7,129,91,488
4.6,39.4,0.3367,1.9,336,184,915
4.8,41.9,0.3634,2.4,335,204,1021
5.9,40.2,0.376,2,318,185,897
7,38.4,0.3861,1.3,201,125,699
6.6,40.2,0.3944,1,166,104,588
6.6,41.2,0.4046,1.2,192,115,643
7.3,36.8,0.3779,1.5,198,126,685
7.3,35,0.3584,1.3,198,125,673
7,33.5,0.3367,1.5,223,139,691
6.5,32.4,0.3155,1.5,224,142,726
5.7,33.9,0.3131,2.1,266,170,912
5,36.1,0.3178,2.6,326,195,1048
4.7,38.3,0.3306,3,343,202,1136
4.5,39.9,0.339,2,243,168,909
4.3,41.1,0.3451,1.4,177,128,719
4,43.1,0.3551,1.3,155,115,746
3.7,46,0.3701,1.2,143,111,700
3.3,47.4,0.3716,1.1,124,97,579
3,49.1,0.3774,0.9,94,77,553
3.5,48,0.3822,0.8,-200,-200,519
3.6,48,0.3835,0.6,56,51,467
4,47.8,0.3919,0.5,58,49,422
4.1,48.1,0.3975,0.6,105,79,545
4.1,47.4,0.3926,0.7,122,92,556
4.2,48.7,0.4073,1.6,274,167,879
4.1,49.8,0.4117,2.2,342,206,993
4.3,48.4,0.4043,1.8,296,184,892
4.6,49.7,0.4271,1.5,279,176,901
4.5,49.6,0.421,1.8,325,191,874
4.4,48.4,0.4087,1.4,222,147,722
4.7,47.2,0.4075,2.1,279,174,836
4.2,49.5,0.4118,1.6,248,167,669
3.4,50.7,0.3991,1.3,193,138,600
-200,-200,-200,1.9,256,164,-200
-200,-200,-200,2.4,288,190,-200
-200,-200,-200,3,300,198,-200
-200,-200,-200,1.9,224,155,-200
-200,-200,-200,1.8,219,153,-200
-200,-200,-200,1.1,145,110,-200
-200,-200,-200,1.1,115,91,-200
-200,-200,-200,1.1,136,105,-200
-200,-200,-200,1,107,85,-200
1.9,49.7,0.3528,0.7,70,60,376
1.6,52.9,0.3692,0.6,-200,-200,336
1.4,53.8,0.3687,0.5,37,34,330
1,54.7,0.3657,0.5,33,31,321
1.4,52.3,0.3591,0.4,43,37,334
1.6,51,0.3561,0.5,73,58,395
1.4,53.1,0.3642,0.8,125,92,473
1.7,54.1,0.3785,1.1,154,110,553
2.5,51,0.3778,1.1,140,101,545
2.9,48.7,0.3706,1.1,150,96,547
3.6,45.8,0.3674,1.1,139,102,527
3.1,48.1,0.3722,1.1,135,96,505
3.4,46.6,0.3668,1.2,152,102,550
3.7,45.8,0.3697,1,121,88,465
4.4,43.7,0.3688,1.2,122,87,467
4,44.9,0.3689,1.3,167,115,555
3.3,46.8,0.3671,1.4,165,118,551
3.1,48.1,0.3707,1.3,190,134,569
2.8,49,0.37,1.4,176,125,594
3.1,47.4,0.3661,1.5,196,140,598
2.9,49,0.3725,1,103,83,434
2.8,49.1,0.3726,1,91,73,412
2.9,49.7,0.3782,1.1,119,92,469
3.8,46.5,0.3762,1.3,147,109,515
3.2,46.9,0.3658,1,101,82,430
3.1,45.2,0.3504,1.1,-200,-200,503
3.1,44.8,0.3473,-200,102,83,494
3.1,44.4,0.342,0.6,55,50,368
3,43.4,0.3337,0.5,51,44,348
2.8,43.8,0.3308,0.4,53,49,354
2.7,43.2,0.3259,0.5,74,62,382
3.3,42.3,0.3299,0.7,113,85,450
4.6,39,0.333,0.8,107,82,460
5.6,37.5,0.3426,0.8,101,77,441
7.2,34.2,0.3488,1,129,92,454
6.9,35.6,0.3561,0.9,126,95,415
8.2,30.1,0.3281,0.9,132,95,419
7.6,27.9,0.2927,0.9,101,76,368
7.9,25.9,0.2774,1,128,95,397
7.8,28.3,0.3017,1,170,118,510
6.3,28.8,0.2772,1.1,174,123,473
5.4,30.1,0.2726,1.2,215,140,537
5,31.1,0.273,1.6,248,163,670
4.6,33.8,0.2898,1.7,247,164,711
4.3,36.6,0.3064,1.1,154,120,551
4,39,0.3203,1.3,186,130,670
2.9,42.8,0.3276,1.7,231,145,771
3.4,38.9,0.3076,1.5,174,126,586
4,36.4,0.2982,0.8,68,61,355
4,36.4,0.2989,0.5,-200,-200,310
3.7,37.7,0.3024,0.4,39,37,292
3.4,38.9,0.3075,0.4,39,37,293
3.7,37.5,0.3012,0.4,54,50,328
3.7,35.2,0.2833,0.7,158,109,479
3.7,33.9,0.2732,1.8,350,198,979
4.4,38.8,0.328,-200,-200,-200,1469
6.6,34.4,0.3359,3.5,584,283,1667
10,22.4,0.2753,2.8,478,256,1378
11.9,18.6,0.2581,3.1,563,261,1426
12.5,17.2,0.2477,2.5,414,181,1246
13.2,17.3,0.2606,2.7,398,194,1187
13.5,18.7,0.2872,2.9,451,214,1363
14.1,18.2,0.2908,3.2,503,204,1425
13,20.3,0.303,4.1,640,228,1722
10.4,24.7,0.3116,6.1,843,270,2051
8.6,29.8,0.3344,6.8,954,285,2179
7.3,36.8,0.3771,6.8,984,282,2214
6.3,39.4,0.3795,3.7,586,235,1799
5.4,43.5,0.3922,2.1,360,208,1527
5.1,45.6,0.4056,1.4,231,161,1377
4.2,49.4,0.412,1.3,200,146,1317
4.1,50.1,0.415,1.1,153,123,1228
4.1,51.5,0.4263,1,135,109,1201
3.7,57.5,0.4621,0.9,-200,-200,1158
2.5,64.8,0.4807,0.8,196,115,1204
1.8,68.9,0.4878,0.9,208,114,1216
2,64.9,0.4661,1.1,241,122,1198
2.2,65.3,0.473,1.6,417,149,1381
3.1,64,0.4938,3.7,896,187,1873
3.7,61.7,0.4967,4.8,966,198,2112
4.4,58.8,0.4979,4.1,878,196,2038
5.8,54.1,0.502,4.5,985,218,2118
7.3,50.8,0.5226,4.5,1017,227,2110
9.5,47.2,0.5589,3.7,683,181,1965
11.8,44.4,0.6118,4.2,660,179,1888
12.7,45.5,0.6648,3.3,492,151,1774
13.5,44.8,0.6898,3.2,497,162,1626
12.3,48.9,0.6967,3.6,562,165,1761
10.8,40.3,0.5201,3.5,539,173,1533
9.4,36.7,0.4324,4.1,502,188,1531
8.3,39.5,0.4318,4,452,186,1477
7.8,41.3,0.4389,3.3,357,172,1332
7.3,43.8,0.4505,3,289,150,1210
6.7,47.6,0.4688,2.6,221,137,1167
6.6,51.2,0.5007,2.6,204,133,1133
6.4,52.6,0.5074,2.6,183,122,1109
5.3,57.8,0.5177,2.9,222,130,1218
3.4,66.7,0.5281,2.9,-200,-200,1222
3.3,66.8,0.5215,2.5,210,121,1149
3.7,62.9,0.5059,2,185,115,1090
2.6,67.5,0.5034,2.2,257,125,1114
3.5,60.9,0.4857,2.4,297,136,1089
2.7,63.4,0.4787,4,573,174,1446
2.8,64.2,0.4859,6.7,883,224,1930
5.8,53.1,0.4942,5.6,824,230,1809
9.7,40.1,0.4832,4.3,693,205,1769
12.7,30,0.4398,4,714,204,1696
13.7,20.7,0.3221,2.6,388,139,1086
13.7,19.9,0.3114,2.2,337,133,1048
14.1,18.1,0.2884,1.9,326,127,990
14.5,18,0.2956,1.8,329,124,1027
13.2,20.4,0.3074,3.1,465,158,1359
10.5,25.1,0.3194,4.8,612,171,1618
8.9,31.4,0.3597,5.8,759,193,1869
8.2,36.2,0.3953,5.9,771,195,2033
6.7,39.6,0.3906,4.1,655,212,1756
5.8,42,0.3904,1.8,332,193,1446
4.9,45.9,0.3999,1.7,287,167,1423
4.5,47.9,0.4079,1.7,242,156,1278
3.9,51.6,0.4226,1.5,242,153,1265
3.4,54.7,0.4323,1.1,192,128,1107
3.3,56.1,0.4379,0.9,-200,-200,1014
2,60.8,0.4337,-200,134,96,1011
1.2,63.7,0.4327,0.3,142,105,1006
2.1,60.3,0.4368,0.4,194,130,1010
1.3,63.1,0.4322,0.6,216,134,1067
1.3,64.8,0.441,3,728,275,1630
2.1,62.2,0.4491,5.6,975,309,2030
5.1,50.8,0.4499,4.9,947,322,1916
8.5,39.7,0.4425,3.5,790,333,1761
11.5,33,0.4476,2.2,551,235,1597
12.2,34.3,0.4864,2.7,565,241,1776
13.5,35,0.5396,2.7,532,214,1636
14.9,34.9,0.5869,2.1,459,174,1480
15.7,34.5,0.6111,2,407,157,1413
14.7,37.2,0.618,2.4,434,170,1611
12.2,44.8,0.6342,6.7,980,212,2186
10.3,52.4,0.6578,6.4,966,249,2203
9.3,55.5,0.6503,3.9,646,231,1891
8.3,57.6,0.6304,2.7,471,216,1662
6.3,65.1,0.6237,3,528,217,1674
6.5,63.1,0.6132,2.1,378,203,1462
6,62.7,0.589,1.2,235,161,1273
5.1,65.4,0.5797,1.2,217,147,1174
4.7,64.6,0.5568,0.7,141,111,1031
2.9,72.2,0.5523,0.9,-200,-200,1082
